"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1318","4000 EAST CAPITOL ST NE",38.889921,-76.947087,38.889871,38.889971,-76.947137,-76.947037
"1319","1300 16TH ST NW",28.0339684833827,-81.7455239224374,28.033918483383,28.034018483383,-81.745573922437,-81.745473922437
"1320","3300 MINNESOTA AVE SE",38.882127,-76.958692,38.882077,38.882177,-76.958742,-76.958642
"1321","100 M ST NE",38.9057265633311,-77.0046205090197,38.905676563331,38.905776563331,-77.00467050902,-77.00457050902
"1322","1700 NEW JERSEY AVE NW",38.9127463,-77.0177495,38.9126963,38.9127963,-77.0177995,-77.0176995
"1323","4000 NANNIE HELEN BURROUGHS AVE NE",38.8989909,-76.9341999,38.8987589,38.8993276,-76.9357376,-76.9328933
"1324","RHODE ISLAND AVE NW",45.146696,-93.378753,45.144915,45.1484733,-93.378807,-93.3787142
"1325","1300 16TH ST NW",28.0339684833827,-81.7455239224374,28.033918483383,28.034018483383,-81.745573922437,-81.745473922437
"1326","3900 EAST CAPITOL ST NE",38.8898337,-76.9445619,38.8898331,38.8898337,-76.9445619,-76.9426009
"1327","1400 FORT STEVENS DR NW",38.963941,-77.033583,38.963891,38.963991,-77.033633,-77.033533
"1328","1300 16TH ST NW",28.0339684833827,-81.7455239224374,28.033918483383,28.034018483383,-81.745573922437,-81.745473922437
"1329","900 T ST NW",38.915488,-77.024127,38.915438,38.915538,-77.024177,-77.024077
"1330","CONNECTICUT AVE NW",38.9194627,-77.0491373,38.9194627,38.9229111,-77.0511619,-77.0491373
"1331","3300 MINNESOTA AVE SE",38.882127,-76.958692,38.882077,38.882177,-76.958742,-76.958642
"1332","1500 U ST NW",38.916856,-77.0348271,38.916806,38.916906,-77.0348771,-77.0347771
"1333","NORTH CAPITOL ST NW",38.956315,-77.0090472,38.9562058,38.956587,-77.0090522,-77.0090472
"1334","2500 SOUTH DAKOTA AVE NE",38.92407215,-76.9639502380293,38.9240196,38.9241207,-76.9640265,-76.9638951
"1335","3200 MINNESOTA AVE SE",38.8787505,-76.9611932,38.8787005,38.8788005,-76.9612432,-76.9611432
"1336","1300 IRVING ST NW",38.928553,-77.029866,38.928503,38.928603,-77.029916,-77.029816
"1337","1000 17TH PL NE",38.902627,-76.980164,38.902577,38.902677,-76.980214,-76.980114
